Date,Open,High,Low,Close,Adj Close,Volume
2020-10-12,132.000000,133.000000,125.500000,129.699997,119.412888,41338
2020-10-13,129.699997,132.000000,126.000000,130.500000,120.149437,21824
2020-10-14,135.899994,138.000000,131.699997,132.000000,121.530464,37606
2020-10-15,132.500000,132.500000,123.099998,125.099998,115.177734,25628
2020-10-16,124.000000,126.000000,118.300003,120.500000,110.942581,44499
2020-10-19,121.000000,130.000000,121.000000,127.099998,117.019104,45576
2020-10-20,127.000000,133.000000,126.300003,130.000000,119.689095,24048
2020-10-21,132.800003,133.500000,128.100006,129.699997,119.412888,17317
2020-10-22,129.600006,134.899994,127.699997,134.600006,123.924255,15886
2020-10-23,134.600006,139.699997,134.000000,138.000000,127.054581,27897
2020-10-26,137.399994,139.800003,133.000000,135.199997,124.476654,12569
2020-10-27,133.100006,134.199997,128.500000,132.800003,122.267014,22931
2020-10-28,129.500000,130.800003,116.699997,121.099998,111.494995,42198
2020-10-29,120.599998,123.900002,111.000000,121.000000,111.402924,28742
2020-10-30,119.800003,122.599998,112.099998,112.599998,103.669174,16805
2020-11-02,115.099998,120.500000,113.800003,115.099998,105.970879,12344
2020-11-03,118.599998,125.900002,117.300003,125.900002,115.914291,21177
2020-11-04,127.000000,132.899994,124.099998,130.899994,120.517708,24928
2020-11-05,129.600006,139.899994,129.600006,139.899994,128.803879,47367
2020-11-06,139.699997,140.600006,133.000000,137.399994,126.502167,28681
2020-11-09,139.399994,142.699997,138.199997,141.000000,129.816635,30051
2020-11-10,141.899994,149.800003,139.500000,148.100006,136.353500,26960
2020-11-11,148.100006,148.100006,148.100006,148.100006,136.353500,0
2020-11-12,148.100006,153.300003,147.100006,150.600006,138.655212,28538
2020-11-13,150.500000,150.500000,140.399994,142.000000,130.737320,18367
2020-11-16,143.000000,149.699997,143.000000,144.300003,132.854904,16585
2020-11-17,145.399994,148.500000,140.699997,141.000000,129.816635,13803
2020-11-18,141.000000,144.000000,139.899994,141.100006,129.908707,18706
2020-11-19,139.199997,139.699997,133.100006,133.300003,122.727364,34134
2020-11-20,133.000000,136.800003,129.199997,135.500000,124.752869,26966
2020-11-23,136.100006,138.600006,132.100006,132.600006,122.082878,19500
2020-11-24,133.899994,137.000000,133.000000,134.699997,124.016312,26930
2020-11-25,136.399994,138.399994,134.800003,137.199997,126.318031,34714
2020-11-26,137.500000,137.500000,130.800003,136.000000,125.213203,31213
2020-11-27,134.100006,139.699997,134.100006,139.000000,127.975258,188358
2020-11-30,139.000000,141.800003,136.199997,141.399994,130.184906,27832
2020-12-01,144.500000,144.899994,137.199997,138.000000,127.054581,14073
2020-12-02,138.000000,141.800003,138.000000,141.800003,130.553177,15027
2020-12-03,141.500000,144.500000,140.699997,144.500000,133.039032,16897
2020-12-04,144.199997,148.899994,144.199997,148.899994,137.090042,59046
2020-12-07,149.000000,149.500000,142.300003,142.300003,131.013535,32742
2020-12-08,143.199997,143.699997,138.399994,139.899994,128.803879,37870
2020-12-09,139.800003,143.399994,137.500000,138.699997,127.699059,24571
2020-12-10,137.899994,138.699997,132.600006,135.000000,124.292526,22337
2020-12-11,137.000000,138.399994,133.100006,137.800003,126.870445,18747
2020-12-14,137.000000,139.899994,135.000000,136.000000,125.213203,16101
2020-12-15,135.600006,137.800003,134.800003,136.000000,125.213203,12360
2020-12-16,136.699997,143.899994,136.699997,143.899994,132.486603,30340
2020-12-17,144.399994,146.699997,138.500000,139.000000,127.975258,30852
2020-12-18,138.500000,139.899994,134.000000,136.600006,125.765617,52241
2020-12-21,135.800003,135.800003,131.000000,134.399994,123.740112,12717
2020-12-22,133.699997,136.899994,133.699997,135.899994,125.121140,11745
2020-12-23,136.899994,139.500000,135.100006,139.500000,128.435608,8636
2020-12-24,139.500000,139.500000,139.500000,139.500000,128.435608,0
2020-12-25,139.500000,139.500000,139.500000,139.500000,128.435608,0
2020-12-28,139.500000,144.399994,139.500000,142.000000,130.737320,16439
2020-12-29,145.000000,146.000000,142.100006,144.399994,132.946960,6835
2020-12-30,145.000000,145.000000,140.699997,142.000000,130.737320,11729
2020-12-31,142.000000,142.000000,142.000000,142.000000,130.737320,0
2021-01-01,142.000000,142.000000,142.000000,142.000000,130.737320,0
2021-01-04,142.000000,144.199997,138.300003,144.199997,132.762817,21543
2021-01-05,142.500000,148.500000,141.600006,148.500000,136.721771,30548
2021-01-06,148.500000,148.500000,148.500000,148.500000,136.721771,0
2021-01-07,150.000000,152.399994,150.000000,151.000000,139.023483,31853
2021-01-08,151.000000,161.899994,150.800003,161.000000,148.230347,87428
2021-01-11,162.000000,168.000000,161.500000,165.500000,152.373428,80254
2021-01-12,165.800003,168.000000,160.300003,163.500000,150.532059,16965
2021-01-13,163.500000,167.300003,161.000000,161.899994,149.058960,35918
2021-01-14,162.000000,170.000000,162.000000,167.399994,154.122726,31242
2021-01-15,168.800003,168.800003,161.600006,164.000000,150.992401,10582
2021-01-18,164.500000,169.899994,162.300003,169.800003,156.332382,38546
2021-01-19,170.000000,173.399994,167.500000,172.100006,158.449951,62985
2021-01-20,172.000000,173.100006,169.000000,172.399994,158.726151,69394
2021-01-21,171.899994,173.100006,165.199997,165.699997,152.557556,15404
2021-01-22,164.100006,168.899994,154.300003,167.800003,154.490997,25982
2021-01-25,168.000000,171.199997,166.100006,170.000000,156.516510,15567
2021-01-26,169.899994,171.000000,166.000000,168.000000,154.675140,38671
2021-01-27,167.699997,169.300003,163.899994,166.800003,153.570328,51377
2021-01-28,165.000000,168.000000,161.199997,166.300003,153.109970,23214
2021-01-29,167.800003,167.899994,162.199997,167.300003,154.030655,19681
2021-02-01,165.100006,169.000000,165.000000,168.300003,154.951355,20311
2021-02-02,169.000000,170.199997,167.100006,170.199997,156.700638,21668
